mean_cure_month,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications,merge_fraction
1.0,-0.0038205158774932877,0.0022546432652848264,0.015333586509947619,0.0026075251118003614,0.016078597203153973,0.002531801031757253,0.004906665687075125,0.00217062807100535,0.40799295033251365,0.004083212784501056,0.40643250756881444,0.004001195572274171,0.4142468316575521,0.004070383388195487,0.41455123229454943,0.004110437034682362,0.40999330807454043,0.004045800327484474,1000,0.1524694880805775
5.0,-0.0027382917239204994,0.0021668805844599127,0.015424261654705933,0.002529981425474315,0.01727036378507468,0.002470074835729397,0.00526003973372755,0.002116701303540999,0.40750712703886355,0.003994022078482181,0.40638926767008116,0.0038764141140706504,0.4137903536011541,0.0039528787097866894,0.41454282940402615,0.003972409380956167,0.40964888588581916,0.003928134476105192,1000,0.16356241807425276
10.0,-0.0010446301439702914,0.0022542789473927595,0.015520375915560282,0.0025571712738611677,0.018816965034194045,0.002611383057699404,0.005828855607385265,0.0021960266745027187,0.40677473128880093,0.004122252652017121,0.40634775340709306,0.00401593121359791,0.4130854411831654,0.004057221744737302,0.4144264913380482,0.004084496765605283,0.4091438934225332,0.004056327040463566,1000,0.1791013247764377
20.0,0.0018097922444615193,0.002259049630105995,0.015625476744584355,0.002637795585060252,0.02190532898929638,0.0027609530998116065,0.006707716870872117,0.0022572756064202972,0.4058497118374229,0.004175309738968348,0.406581341236266,0.003999508470375158,0.41218793398964676,0.004042502262374458,0.4147368863315176,0.0041093264525884415,0.4085693612084053,0.004039349380251728,1000,0.22879006929557805
30.0,0.004755636648398955,0.0022904945586406564,0.015663145261623965,0.0026808362231269135,0.024905462914799326,0.0029022935028614576,0.007573474945057418,0.002301587435632877,0.40437738338826007,0.004233036726405204,0.4062975334456503,0.0040702314579007205,0.41070756677116066,0.004081962623596884,0.41444503473211586,0.004152734832719987,0.407437145002112,0.004096925605270961,1000,0.3126972808281681
40.0,0.007851211576487452,0.0022483642385722124,0.015839094579871756,0.0025404517315617326,0.028034939302523213,0.002927087557016823,0.008581577877680678,0.002232137432214931,0.4031598537887342,0.004221178191609116,0.4063227367078099,0.004117166793976497,0.4095427540977679,0.004140318173956673,0.41445937269128635,0.004205970133857104,0.4066174462646886,0.004143927220192066,1000,0.498476964715517
50.0,0.01078634837336726,0.002371142505206756,0.015904960843899644,0.002589119502036954,0.030923725197679882,0.0031379569257199012,0.009490082090934115,0.0023294501034732723,0.40186766404395274,0.004232936961236322,0.40619933244903705,0.004093952299389188,0.40825605327684505,0.004107962175412679,0.41429139430048334,0.004209093629157669,0.4056786672460105,0.004110720095554558,1000,0.8023743192028713
55.0,0.011912086681959503,0.0024230034795935515,0.015865168362867207,0.0025942562634718035,0.03207977958400187,0.0032548434222876206,0.009792960113477708,0.0023516701077766176,0.40166963573525183,0.004188186422450282,0.40645108388714446,0.004031066820598133,0.4080386615550912,0.004038581908790906,0.4145510094885218,0.0041229146804599584,0.4056002297960917,0.004049229944378779,1000,0.9130116262149319
60.0,0.012738068336633481,0.0024879495748071872,0.015881725330976714,0.0026304718553452227,0.03299476005801674,0.0033843599124163126,0.010029581871402796,0.002392219946311254,0.40145029220785916,0.004185789654132698,0.40656060059146126,0.004025636421673135,0.40782239276053683,0.004029798560440052,0.4146919180925696,0.004137099441244352,0.4054735975285223,0.004037494556079371,1000,0.9703907402314942
70.0,0.013447630258977154,0.0026820864059788263,0.01591687351189241,0.00279890874908095,0.033675348190126395,0.0035688325136836877,0.010258542292510426,0.002579459423778685,0.4009090846249455,0.0041689005900268005,0.4062962087043526,0.003953064440727881,0.4072859378633238,0.003954083477108735,0.4144046899895136,0.004042775007801735,0.40501806195531964,0.003968951785709257,1000,0.9983715640000401
80.0,0.013610668906459452,0.0026657345851007126,0.0159872692630805,0.002774546235459479,0.033889451597179786,0.003506475833082135,0.010352614372312602,0.0025707995575899156,0.4009615701354519,0.004219192834505412,0.4064153095032903,0.004061906792913231,0.4073680523143433,0.004065072357398781,0.414545472706549,0.00416099204564955,0.40510931769813985,0.0040749099001825126,1000,0.9999500127467496
