prd,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications
0.0,6.649991361619323e-05,0.002108849755719658,6.649991361619323e-05,0.002108849755719658,6.649991361619323e-05,0.002108849755719658,6.649991361619323e-05,0.002108849755719658,0.3999735998823527,0.004086061412151747,0.3999982893757956,0.003984633951085464,0.3999982893757956,0.003984633951085464,0.3999982893757956,0.003984633951085464,0.3999982893757956,0.003984633951085464,1000
0.05,-0.003929919587790551,0.002112461010637412,0.002409529898895973,0.002250108892889852,0.0060127177369088125,0.0022077299072075425,2.187723542236708e-05,0.002074957568646268,0.40260952193193567,0.003950362517725216,0.4010256756790844,0.0038597263340810397,0.4035779107614724,0.003887628487875882,0.4050286251734593,0.003901561129428427,0.40261675312756884,0.003876462859145677,1000
0.1,-0.007849617756530182,0.0022047967304420772,0.004667338050780712,0.0024208095719234495,0.01200317549933202,0.002371380657717842,5.241314484627724e-05,0.002111556479769145,0.4051052810596265,0.004217447049897315,0.40192368828923064,0.004119181095206287,0.40699389771588257,0.004144191903823144,0.4099656944025742,0.004170447737617069,0.40512483856808423,0.004143581512220772,1000
0.15,-0.011892465945975225,0.00234223767041293,0.006577513541134098,0.0025763158318958435,0.01773201920678813,0.002521575652107315,-3.7696065870531644e-05,0.0021955288620103056,0.4078596727739923,0.004184446975731186,0.4030067481977685,0.0040022703933219805,0.41053955743642156,0.004065122920080812,0.41508884155209663,0.004085324336283974,0.4078419047295774,0.004044039056474047,1000
0.2,-0.015846963930042215,0.0023950846580868363,0.008391420876622585,0.0027300619899986323,0.023595148633490312,0.002644769002512865,-2.3886265674179286e-05,0.0021937057670927016,0.41025280429686456,0.004120286711941818,0.4037495758772791,0.0039773944952624755,0.41369274279799745,0.004038779345372587,0.41993034518683225,0.004113973877350451,0.410241117618728,0.004029596177207618,1000
0.25,-0.019780431392488435,0.002393157075593939,0.010083675844214017,0.002776792260521223,0.029340961249736168,0.002690138358969324,9.553464004497858e-06,0.002184575316912674,0.41281727837757526,0.0042782154829411724,0.4046497910599414,0.004137244101058173,0.41697743802226295,0.004225618613960611,0.42492707315155215,0.004285812580756753,0.4128194504316799,0.004201558081083239,1000
0.3,-0.023644663636594124,0.002509111407144515,0.011539197115468037,0.002979494516265594,0.03475200170764921,0.0029570058763635277,3.1185542216730646e-06,0.002287330712557475,0.4157892897862258,0.00416747432408164,0.405955795101561,0.003971363355189061,0.42058355576346956,0.004032289177149023,0.4302348970520687,0.004091273617726886,0.4157882351949068,0.004038547724992798,1000
0.35,-0.02776411719514146,0.002606078863347542,0.012733278752079453,0.0029954996548837345,0.0403596641382339,0.0028903254238117565,-0.00014461363778333592,0.0023011167122279907,0.4182223644607046,0.004209590261732821,0.4066086877090872,0.004027101105228763,0.42354432898178923,0.004106993260391618,0.4350985752826647,0.004234014021257653,0.4181597884317299,0.004108238063802888,1000
0.4,-0.03152492122767694,0.0026179822637977055,0.01395979842797594,0.0031762261725565,0.04589952618164926,0.0029828767030996217,1.2809383542061293e-05,0.0023374701895031856,0.420639696639631,0.003997220850532561,0.4073768797274834,0.003796830432290993,0.4265084382611431,0.003922897617465706,0.4399431297901522,0.003970931468084507,0.4206429450089178,0.00389096837570101,1000
0.45,-0.03549224848907603,0.0026749257442838102,0.014957351053008345,0.003140302883570933,0.05137865496666842,0.0032186495599562876,-6.403473734337961e-05,0.002360585455030532,0.42331561975925985,0.004244307799720505,0.40828851334619615,0.003980142985001905,0.42964365119484793,0.004144751872389308,0.44506095904503024,0.004260787582242962,0.42328612321559456,0.004120670938076341,1000
0.5,-0.03934134976589879,0.0027056817897546273,0.015931953960160037,0.003285883360211103,0.056813603561797946,0.0032983091913605465,3.9437698905356754e-05,0.0024392589825910204,0.42598809472510596,0.004082428988227002,0.4092268060829181,0.0038465380999283595,0.4327715291656639,0.004028940026406951,0.4501857913681199,0.004096883915961266,0.42600259402567603,0.003973475237380465,1000
