mean_cure_month,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications,merge_fraction
1.0,-0.0010508777796216205,0.00221068067267126,0.013018323518620886,0.002544795970496557,0.015861297369686344,0.0025310954631971197,0.00484303147207421,0.0021706055433564245,0.40799295033251365,0.004083212784501056,0.4075625335056682,0.0040115456902006874,0.41330230690181585,0.004063580767822798,0.41446258150923393,0.004110117698174385,0.4099673520933119,0.004046192948514585,1000,0.1524694880805775
5.0,-0.00010568195430777073,0.0021510415978107733,0.012949567085388082,0.002436080395514433,0.01667460389504379,0.0024595947026119875,0.0050864998757359295,0.0021138094520594835,0.40750712703886355,0.003994022078482181,0.4074621600703209,0.0038941461720757146,0.4127818916471609,0.00393281179184862,0.4143000390756539,0.0039675713209684224,0.40957816315012835,0.003926787314245947,1000,0.16356241807425276
10.0,0.0012796220443209742,0.002204459769017517,0.012782935842290968,0.0024801557681830132,0.01762216647743001,0.0025978388185161332,0.00547632842796259,0.0021920966357558925,0.40677473128880093,0.004122252652017121,0.407293306307683,0.004031376446290175,0.41197188925396494,0.0040352422616034625,0.4139404677120085,0.004077303119758786,0.40900048962855545,0.004054096653885173,1000,0.1791013247764377
20.0,0.0034271802855478308,0.0022438371720248707,0.012111914618618765,0.0025303940198115106,0.01895026140766163,0.002721342041717955,0.0058431890339665435,0.0022440868990783024,0.4058497118374229,0.004175309738968348,0.4072378971148932,0.004018876121097514,0.41076220100232574,0.004042065441920494,0.4135376599843828,0.004101914509166215,0.4082185746219949,0.004042937653772701,1000,0.22879006929557805
30.0,0.005020199645863756,0.002235052737406161,0.010832395629076815,0.002488298436335662,0.018873083204350355,0.0027686119510058954,0.005814228810356381,0.002242004616060724,0.40437738338826007,0.004233036726405204,0.4064047628925865,0.004090803865562569,0.40875471539168284,0.004101946921699891,0.41200613778591544,0.004159131178234337,0.40672599659125547,0.0041092106677379486,1000,0.3126972808281681
40.0,0.005013267054557985,0.00209404399426915,0.008028989351129494,0.002223249949648491,0.015107450782932767,0.002505838125376368,0.004762440409487697,0.002080381498508361,0.4031598537887342,0.004221178191609116,0.4051791350408135,0.0041457778142241644,0.4063947750615542,0.004151651269463325,0.4092482567447514,0.004180272208405909,0.40507815490355625,0.004157603153426976,1000,0.498476964715517
50.0,0.0023407286343697137,0.0019921554900145123,0.0032257506970240868,0.0020320920664451724,0.006287077012539013,0.0021551547100927375,0.0020560162966278806,0.001988443480560055,0.40186766404395274,0.004232936961236322,0.40280641852033106,0.004135652354142168,0.40316201674224933,0.004136259330272663,0.40439223676639335,0.004156313934127471,0.40269205295833643,0.004139157497994513,1000,0.8023743192028713
55.0,0.0010187450007071064,0.0020417443693296817,0.0013709101096243924,0.0020591622260594795,0.0027542085122460157,0.0021308419661429756,0.0008713671080008625,0.002037458382160397,0.40166963573525183,0.004188186422450282,0.4020770363809584,0.00409946616441424,0.4022184683050278,0.004100167108410323,0.40277408756948124,0.0041108205009273025,0.4020178597873714,0.004100544612889361,1000,0.9130116262149319
60.0,0.0003340207321309615,0.0020408895333515306,0.00044449422493517897,0.002046097949514594,0.0009264433329071993,0.0020691349626445338,0.0002785241182548052,0.0020396462803686263,0.40145029220785916,0.004185789654132698,0.40158267322139884,0.004101853473388237,0.40162700960446474,0.004101441998658638,0.4018204904723924,0.004105564906240856,0.40156039922735237,0.0041020243923808345,1000,0.9703907402314942
70.0,-1.5840326944885018e-05,0.002155051503205936,-1.0493524417230504e-05,0.0021552907431012804,1.6659629382104414e-05,0.002156087059034342,-1.935144450029802e-05,0.0021550360128680113,0.4009090846249455,0.0041689005900268005,0.4009007014447724,0.004061302628201137,0.4009028420417315,0.004061045977184495,0.40091371766492523,0.004060183202914924,0.4008992954630204,0.004061453287581506,1000,0.9983715640000401
80.0,3.177972876948887e-05,0.0021077174872893515,3.189857214917968e-05,0.0021077258483473255,3.277958056396535e-05,0.0021076563214026574,3.1673176361852077e-05,0.002107718182267485,0.4009615701354519,0.004219192834505412,0.40097245372323537,0.004126826051939197,0.4009725012595326,0.004126815821262236,0.4009728541198372,0.004126774439692165,0.4009724110586747,0.0041268315098681495,1000,0.9999500127467496
