mean_cure_month,lgd_new_error_mean,lgd_new_adj_error_mean,merge_fraction
1.0,0.004906665687075125,1.0768490797051776e-06,0.1524694880805775
5.0,0.00526003973372755,-8.351169982838691e-06,0.16356241807425276
10.0,0.005828855607385265,9.437197261540375e-05,0.1791013247764377
20.0,0.006707716870872117,3.177716163159161e-05,0.22879006929557805
30.0,0.007573474945057418,-3.484281902743969e-05,0.3126972808281681
40.0,0.008581577877680678,1.1458612210216712e-05,0.498476964715517
50.0,0.009490082090934115,5.557309661390864e-05,0.8023743192028713
55.0,0.009792960113477708,-5.054669007507973e-05,0.9130116262149319
60.0,0.010029581871402796,-3.4418847171138635e-05,0.9703907402314942
70.0,0.010258542292510426,-3.806960426259975e-05,0.9983715640000401
80.0,0.010352614372312602,3.1728414672337556e-05,0.9999500127467496
