mean_cure_month,lgd_new_error_mean,lgd_new_adj_error_mean,merge_fraction
1.0,0.00484303147207421,8.644117579443166e-06,0.1524694880805775
5.0,0.0050864998757359295,-8.407136940238868e-06,0.16356241807425276
10.0,0.00547632842796259,0.00010074337088778363,0.1791013247764377
20.0,0.0058431890339665435,2.920288742975019e-05,0.22879006929557805
30.0,0.005814228810356381,-3.5100772139089354e-05,0.3126972808281681
40.0,0.004762440409487697,1.2750554705032058e-05,0.498476964715517
50.0,0.0020560162966278806,5.495934711858963e-05,0.8023743192028713
55.0,0.0008713671080008625,-5.3624081324599616e-05,0.9130116262149319
60.0,0.0002785241182548052,-3.2053477145697505e-05,0.9703907402314942
70.0,-1.935144450029802e-05,-3.677156207157017e-05,0.9983715640000401
80.0,3.1673176361852077e-05,3.166959284861193e-05,0.9999500127467496
