mean_cure_month,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications,merge_fraction
1.0,-0.008743690884482746,0.0021801182272897764,0.004564753085143497,0.002337964291583918,0.011166014186521338,0.0022593828133823843,7.680676670555498e-06,0.002063157097731595,0.40566713670774945,0.004001947508446391,0.4021184424547501,0.003896143735930155,0.4075169590401213,0.00393438498004226,0.4101949295009356,0.003958408578403873,0.4056685772828304,0.003919228011507903,1000,0.15348922886971586
5.0,-0.007812065076734835,0.0021709707338482555,0.004679631827418924,0.0023400811756172186,0.011959091626090742,0.002236309054950372,8.943546934666425e-05,0.0020369279610338666,0.40526985426812573,0.004190434970805052,0.40210180547340796,0.004050924428928787,0.4071640231903492,0.0040880892237837325,0.4101143229968071,0.0041238356740709295,0.40530415850107204,0.004082974728102075,1000,0.16415341459375643
10.0,-0.006956447823986596,0.0022703913465732272,0.004603970196677668,0.002438140220125593,0.012967042499601362,0.002413012213874652,-3.7478342239109844e-05,0.0022007108191106264,0.40452213593625524,0.004243623869081029,0.40170562556164063,0.004075494350265001,0.40638191254564576,0.004123707924143937,0.40976466447677096,0.004126496103249713,0.4045046391887657,0.0041116662887001765,1000,0.18127174313938535
20.0,-0.004857153368526802,0.002248434653989829,0.004612803545932123,0.002465261207699991,0.015014241665767133,0.0024721106672346356,-3.298481323487812e-05,0.0021835841187354543,0.40388294279489595,0.004182931623184806,0.4019192579875503,0.004071733044480037,0.4057435877059872,0.004088316570897759,0.4099444729128144,0.004122965988001349,0.40386770717296305,0.004090457666038704,1000,0.2278092433734457
30.0,-0.0028821792928186516,0.002225520298845528,0.004663110727134288,0.002454949841307026,0.017132927173687376,0.002569436926096049,-8.367541039642478e-05,0.0022086261422991954,0.40300359728326207,0.0041271372064195,0.4018396677372947,0.003975560404999459,0.4048800119335459,0.003983661518275478,0.4099053524857133,0.004041163252823062,0.4029675623095986,0.0039942218454684965,1000,0.3125660084092223
40.0,-0.000560806236586606,0.0022706828611513863,0.004938743760857543,0.0024317856470784365,0.019354208649687975,0.002709606082109245,0.00016146190276884785,0.002251262274210505,0.40229639642494286,0.004235425837436582,0.40206869673854045,0.004132716593285228,0.4042808654124351,0.004142787388350827,0.4100796387225475,0.004178975889676376,0.40235946085671553,0.004153254375515027,1000,0.49740542602202126
50.0,0.0010905716351459246,0.0023704474979514977,0.004616165600277753,0.0024897872741392823,0.02106544788909569,0.0028451700831356496,-0.0001806956355421727,0.0023567291870423357,0.40151268530590933,0.0041965723633970034,0.4019472819135319,0.003989801309501814,0.4033625786786716,0.003988120323790101,0.4099664940806821,0.004023753298553909,0.401437125634732,0.004010857281011696,1000,0.8034280559314388
55.0,0.002191655763516943,0.002428435702505406,0.004928531057879769,0.002538348729854678,0.022247452771703438,0.0029172108176499915,8.516804747312823e-05,0.0024202829089453133,0.4009875946891423,0.004237459602502624,0.4018636074444136,0.004089081662312007,0.4029608423498456,0.004089619374660787,0.4099049630503591,0.004146388156168309,0.4010192142595551,0.004107310830839152,1000,0.9134106547669614
60.0,0.0027994845098969646,0.0023425187678085594,0.00496594672433605,0.0024203229874413743,0.022883242137162477,0.002820656442020061,0.00011397268535221728,0.0023277311244857693,0.40091716332491606,0.00411347234862606,0.40203674814878865,0.003957296974754282,0.4029051771616334,0.0039589381485134155,0.41008801617787505,0.004020142907354749,0.4009603754962451,0.003975067827286045,1000,0.9700761453002122
70.0,0.0031669880410789865,0.002395095865094257,0.004869683167133213,0.002463212999386289,0.023246909639504175,0.002933636369916328,8.300651789050484e-07,0.0023740298217731883,0.4007560159394516,0.004129524322704131,0.40202243439065005,0.00398140546792999,0.40270463426589803,0.003978159672056092,0.41006850132634226,0.004008886920736312,0.4007539833586869,0.004007502515471882,1000,0.998356331371589
80.0,0.0032125969612924665,0.002408839742171321,0.0048497056398039634,0.0024753668667309354,0.02324147116762885,0.002976800348906082,-9.328985228256647e-06,0.002391135770065325,0.4005430971414431,0.004166520556967384,0.40182694484981024,0.004004552215688056,0.4024825234677588,0.004002174819628466,0.409848390289191,0.004046822323823421,0.4005368015305263,0.004027508123730762,1000,0.9999649375889083
