n_exposures,lgd_basic_error_rmse,lgd_lgc_error_rmse,lgd_prd_error_rmse,lgd_new_error_rmse,n_redefault_mean,n_replications
100,0.024158848265739233,0.025615466373210785,0.027574415099262308,0.02196797435558445,1.995,1000
200,0.017293429334242362,0.01742477276876061,0.019773603039480774,0.014860443444576031,3.804,1000
500,0.01217014530076029,0.011287822797422055,0.015467825050639837,0.009014949318851188,9.834,1000
1000,0.01024597449749576,0.008900977682809078,0.014273197476414352,0.0065666899293813615,20.114,1000
2000,0.009222213343607566,0.0070268886513903785,0.0129387353842456,0.004713228225322518,39.604,1000
5000,0.008481622264218275,0.005751046201637991,0.012430342663745214,0.0029998446948868007,100.048,1000
10000,0.00823706655273493,0.0050717782274523485,0.01205439629773497,0.0020426785452480234,199.45,1000
20000,0.008059665342451523,0.004890144377854405,0.012050952295449915,0.001506622809934673,399.917,1000
50000,0.007997101086269045,0.004649225846489046,0.01192638753549758,0.0009372599599597251,998.821,1000
