pc,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications
0.05,-0.0022884051318148176,0.0017533533381571221,0.00043398180938997323,0.0018051195786459439,0.0026833288993326665,0.001773599498889377,0.0001504563293878991,0.001708882857002849,0.4760856413409761,0.0041024668744512795,0.47499452033696027,0.003985808984753519,0.4762904645663368,0.003984444767840429,0.477361393545801,0.003995954118473923,0.4761555989005036,0.003987765665723436,1000
0.1,-0.004562890096255445,0.0019339231389155758,0.001060934083401226,0.0019961383370762833,0.005355526583166325,0.0019276373694551677,4.2028368676946256e-05,0.0018467320305030107,0.45248187216268787,0.004167191369448178,0.45041578884180333,0.004080767449121668,0.45296044087858434,0.0041067441735932655,0.4549035544178829,0.004105238391819477,0.45249948423372,0.004097075138430046,1000
0.15,-0.00636142266917975,0.002001369347577182,0.002498075306197481,0.002117647104003915,0.008494948825092002,0.0021207844679595545,5.6578482072772386e-05,0.001930715457563776,0.4289158182324128,0.0040263393524985645,0.4261860461981091,0.003958827453183252,0.429985710496582,0.003970995667357373,0.4325579509394609,0.004004257720301812,0.4289387876541884,0.003973407389369181,1000
0.2,-0.007853668769851592,0.002188581318077589,0.004699143203920697,0.0023946882954872504,0.012030026460282362,0.00233863255039737,8.84925652011449e-05,0.002082466874298759,0.4052324874740005,0.004106267485829544,0.40204788330829283,0.003967456839865979,0.40713427087955684,0.00399414295979271,0.4101050462358557,0.004024226470565816,0.4052663820056813,0.0039974420533225394,1000
0.25,-0.008953642069291438,0.002479080206821393,0.007530843706232744,0.002780147861030962,0.01579983556695193,0.002688070053084181,-2.1717321122775248e-05,0.0023645492508661266,0.3814388030281572,0.004166122402473584,0.3780208994079232,0.003993277525018233,0.3843082431578432,0.004043441772191203,0.38746261159530065,0.004091867099045481,0.3814280038065586,0.004031120969426174,1000
0.3,-0.009463535162239292,0.0026030782107436573,0.011587385864707565,0.002932580538866808,0.020209326519790898,0.002803345376869629,-1.9848403800023506e-05,0.0024731183584964663,0.35798699232274955,0.004281085007652606,0.3545960608605531,0.004080129262062583,0.36213098567382024,0.004105667978034388,0.36521776430796055,0.004151079483031141,0.3579769579722018,0.004125015498579207,1000
0.35,-0.009249160738826196,0.0028673411795979114,0.016874218340026694,0.0033923017616040237,0.02535199702625947,0.0032008006144795455,8.700249789159631e-05,0.0027375769854417237,0.33388612831019776,0.004169365857093903,0.33079478225093134,0.003985108872997327,0.3395159535341181,0.004047271526387587,0.3423471460846405,0.004112576772894347,0.33391227477155067,0.004035783049402068,1000
0.4,-0.008493160142511658,0.003089002077130769,0.023616738921850264,0.0038324934250489493,0.03124374988681374,0.0035422597262037537,3.4117599385006247e-06,0.0029342421827017657,0.31043707299226414,0.003991534352477866,0.3077970269949036,0.0038015557952177158,0.31776411880838573,0.00390683720565426,0.3201324498632434,0.003960650922281997,0.31043535983907916,0.0038776036515776016,1000
0.45,-0.006838345667914805,0.0032816843739246855,0.03194202678591624,0.0041680946883763306,0.03796962710487931,0.003819762764410969,-8.966018803701225e-05,0.003072435492886608,0.28679577033643844,0.003928926933870932,0.28483128253485274,0.0037744527515972998,0.29595245182943175,0.003925459358346695,0.2976817425203255,0.003964263373490545,0.2867678887769957,0.003869031406010086,1000
0.5,-0.0038623275597143803,0.003657766330341285,0.04293351889949233,0.004776456585454777,0.045958480618521674,0.00431443548272955,-4.833807347499386e-06,0.0034807451957208774,0.2631345749123193,0.003762263044930347,0.26211461856976787,0.0036138679715060837,0.27442689917144547,0.003774390504286005,0.27522363208747097,0.003802239216367629,0.26313094786832725,0.0037083916880425857,1000
