n_exposures,lgd_new_error_mean,lgd_new_error_sd,lgd_new_adj_error_mean,lgd_new_adj_error_sd
100,0.02544976093887443,0.028125106568845804,0.0008981068266899108,0.02000918515072205
200,0.024266459121861726,0.02022628790848216,-0.00012136275793583185,0.014137880962342118
500,0.024267695084759365,0.012608116989828281,0.00027348738710827967,0.008986492620634992
1000,0.024005494377569294,0.00855605721592746,7.601331072917361e-05,0.006060048324631115
2000,0.024033354260615588,0.0061608025172434225,3.830257339878562e-05,0.0043767616476083175
5000,0.023963863982556143,0.0038349730452552156,-2.8093122809248804e-05,0.0027208995033308377
10000,0.0241474222039463,0.0027509640376710124,8.428131594791277e-05,0.001901073301686546
