prd,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications
0.0,6.649991361619323e-05,0.002108849755719658,6.649991361619323e-05,0.002108849755719658,6.649991361619323e-05,0.002108849755719658,6.649991361619323e-05,0.002108849755719658,0.3999735998823527,0.004086061412151747,0.3999982893757956,0.003984633951085464,0.3999982893757956,0.003984633951085464,0.3999982893757956,0.003984633951085464,0.3999982893757956,0.003984633951085464,1000
0.05,-0.0012844944446819887,0.002122828012539155,0.00793219065154177,0.0023323256839189632,0.00870800654474569,0.002339364115062014,0.0026847176528848773,0.002104998348658303,0.4039296633195804,0.004032388457314501,0.40340886482855876,0.0039218677372082605,0.40713150268444387,0.003951106158684684,0.40744510710088017,0.003978552945934768,0.4050122617060152,0.003947731061210634,1000
0.1,-0.0024741813671739694,0.002125644507615281,0.01553766337615835,0.002567402302429683,0.017383926910703448,0.0025315465769817336,0.005431022595021438,0.0021020020872154314,0.40761170359298565,0.004232640653281536,0.4066010322369859,0.004100716103480924,0.4139427490869685,0.004204371048417541,0.4146953557029559,0.004212761388450949,0.4098235439102529,0.004157071789933264,1000
0.15,-0.004220487696723715,0.0022111016527893977,0.02230301797799308,0.002747172840223481,0.025499344678777416,0.0027485505416294325,0.0076686484311817345,0.002148544245269769,0.41115770888051134,0.004287619120680643,0.40942001108627557,0.00413280690721694,0.4203247068554301,0.0042323058535277906,0.42163941489035134,0.00429647092767305,0.41430859502256384,0.004204170603122506,1000
0.2,-0.00592544478808569,0.002332304423214487,0.028931864027649887,0.00285097717528024,0.03388994463720506,0.002881325255946341,0.010032631633479309,0.0021902965714770757,0.4149219874891985,0.004051552968889803,0.41246059034411764,0.0038527269565159523,0.4269236099817217,0.00404287380493686,0.4289812536405561,0.004110728364537476,0.41908262077154906,0.003973269555114899,1000
0.25,-0.0075369602097807254,0.0024470695914957214,0.03518486270930205,0.0030993468064733688,0.04201091175926975,0.003145581753191452,0.012448281719958168,0.0022920394770764396,0.4187044813745358,0.004292909866752561,0.41554490615633016,0.0040032975222048985,0.43343171655490087,0.004153305700068084,0.43629035040858855,0.004242796668635639,0.4239131922255971,0.004110200246263151,1000
0.3,-0.009392319575012286,0.002462268033235373,0.04101520646297093,0.003286295288305395,0.0500780216864398,0.0033447496030487413,0.014608892228597802,0.002346116983262012,0.4223709373395154,0.004155858738691089,0.4184002056500874,0.003864936415319356,0.4396895112474026,0.00402385840196475,0.44351794606464456,0.004128922596038629,0.4285379214839197,0.003981572713335073,1000
0.35,-0.011319622098106948,0.002436072007847963,0.04630930969126377,0.003167314387717899,0.0579016253739702,0.0033750020924815743,0.01672055251523477,0.0022718229069901607,0.4261493099436763,0.004105834036617941,0.42132232550900683,0.0038607058606725257,0.445879968434919,0.004084401336194766,0.45082049771809435,0.004210202241452004,0.43327227539042207,0.004025205823991199,1000
0.4,-0.013446184191680647,0.0025651471262510906,0.05122136102321501,0.003430811445287439,0.06539798904383964,0.0036758633376293426,0.018626389111921413,0.0024280098969847183,0.430053765480608,0.0039659975296297174,0.4242678084742222,0.0036963810532536223,0.4520775800628338,0.003978057651774662,0.45817497647844674,0.0041469621089825,0.4380614191689701,0.003879387718461232,1000
0.45,-0.015530137630425427,0.0026753883263427873,0.05598855955215623,0.0034760400919827757,0.07307739731339705,0.003615678418381576,0.0206119296280213,0.0024657379084294553,0.4337433315261856,0.004021782889511576,0.42700289982598594,0.003648730169711496,0.4580226678953792,0.003927312920682951,0.465435064106156,0.004040908286876954,0.4426799721703982,0.0038420408557349297,1000
0.5,-0.01773670992059245,0.0027319215966828633,0.06025783914351103,0.003569024763572259,0.08047912535244275,0.0037861313467558435,0.022400698699068605,0.002450496231017863,0.4374412406137254,0.004021889691265112,0.4296784618979911,0.0036865640947808995,0.46379408238171205,0.0038283692663567807,0.47264078499188433,0.004070655399268132,0.4472363780829021,0.0038224342670072848,1000
