mean_cure_month,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications,merge_fraction
1.0,-0.005888228592455378,0.0021243052652730964,0.0038607868977953517,0.002280797993335487,0.011014206364658595,0.002258183096244959,8.057119948422286e-06,0.0020617641176979263,0.40566713670774945,0.004001947508446391,0.4032767643821863,0.003897651642435236,0.40723140896251403,0.003928711765592185,0.4101333529001997,0.003958411956614115,0.4056687296048875,0.0039190676300325045,1000,0.15348922886971586
5.0,-0.005024269990629473,0.002113974503992994,0.003938252441659594,0.0022791614089532663,0.01154795086737983,0.002235506481964203,9.450222141076315e-05,0.0020377063237597003,0.40526985426812573,0.004190434970805052,0.40323159873125525,0.004055741686030742,0.40686366875643504,0.004089930531095049,0.4099477145352915,0.004123559723704529,0.40530621617550405,0.004083495654128434,1000,0.16415341459375643
10.0,-0.004230277203891921,0.002239712041346095,0.003775205095921737,0.0023948739992268246,0.012126541648110965,0.0024009139163539512,-2.869266712041929e-05,0.002200630162374074,0.40452213593625524,0.004243623869081029,0.4028085121966274,0.0040929821468120705,0.4060466653614423,0.004116677905026695,0.4094246702585158,0.00412253497106305,0.40450819303613295,0.0041116559637680685,1000,0.18127174313938535
20.0,-0.0023941068981261316,0.0021864986794254567,0.003551586358279304,0.002357270117121349,0.01298853047475067,0.0024486580135740215,-1.2877603103584767e-05,0.0021629198950026693,0.40388294279489595,0.004182931623184806,0.40291400020462054,0.004072194129176278,0.40531516298473713,0.0040917816754524345,0.40912646603547476,0.0041267237408583,0.40387586007258663,0.004091874722049887,1000,0.2278092433734457
30.0,-0.0008299741405728159,0.002168229077228181,0.0031958780052771347,0.002285863393233679,0.012957446483532276,0.0024424760942056947,-3.737173691895013e-05,0.0021543735440091648,0.40300359728326207,0.0041271372064195,0.402666824204869,0.003990090389461211,0.4042890832816839,0.003999330445630974,0.4082228882782597,0.004038973351512347,0.40298636142113986,0.00400373882123478,1000,0.3125660084092223
40.0,0.00047694567452902334,0.002152650713627784,0.0025516474516404626,0.002228705390447361,0.010496657623526605,0.0024520107312103923,0.00022126660612693517,0.002141727410839712,0.40229639642494286,0.004235425837436582,0.40248647015979727,0.0041551149171412715,0.4033209718406191,0.004156261602519943,0.40651682489608076,0.004170604037913422,0.402383739860341,0.0041655813643902,1000,0.49740542602202126
50.0,0.00019446106870657842,0.002061259077060084,0.0007970803197766734,0.0020768163670612165,0.0041174094750644,0.0021562525066992698,-8.674348418598753e-05,0.002059852557921589,0.40151268530590933,0.0041965723633970034,0.40158836817407745,0.004047386824182947,0.40183029257840736,0.004047640461323257,0.40316323485654015,0.004046709570616923,0.40147551866016173,0.00405185518093714,1000,0.8034280559314388
55.0,0.00024303238440052144,0.002088798547586607,0.0004848940413733829,0.0020986576349329264,0.0019762540702448037,0.002133941504874151,9.656491947772506e-05,0.0020889053565367553,0.4009875946891423,0.004237459602502624,0.4010830275348358,0.004128494474216987,0.40117999317412806,0.00412856598177345,0.40177798581483054,0.0041353917161863285,0.40102431729701854,0.0041299648211564855,1000,0.9134106547669614
60.0,0.00015869535157512195,0.0019872506094871533,0.00023766481324313205,0.0019918692292042253,0.0007581022534667618,0.002008520445711792,0.00010368918091955171,0.0019871287269368067,0.40091716332491606,0.00411347234862606,0.4009789143024987,0.004006901503959361,0.40101056843588617,0.004006973200727598,0.40121922668737187,0.004010964508368574,0.4009568667763921,0.004007212280505004,1000,0.9700761453002122
70.0,-3.216948704547385e-05,0.002007972619048954,-2.8463135162867137e-05,0.0020081861710285922,7.287728387266324e-07,0.0020085209945478254,-3.573775931723999e-05,0.002007923847613819,0.4007560159394516,0.004129524322704131,0.4007415236836997,0.004051608288139162,0.40074300816249575,0.004051558533064673,0.4007547140151173,0.004052415883808469,0.4007400932904155,0.0040515489219154575,1000,0.998356331371589
80.0,-6.838319856609354e-05,0.0020328014782175193,-6.829208340827897e-05,0.002032786012784635,-6.768322519898085e-05,0.0020328303447563344,-6.846152829416863e-05,0.0020327945555933284,0.4005430971414431,0.004166520556967384,0.40051396185950583,0.004076544936595895,0.40051399832704265,0.004076541451313477,0.40051424251281065,0.004076577817399589,0.40051393037022287,0.004076532870753602,1000,0.9999649375889083
