mean_cure_month,lgd_basic_error_mean,lgd_basic_error_sd,lgd_lgc_error_mean,lgd_lgc_error_sd,lgd_prd_error_mean,lgd_prd_error_sd,lgd_new_error_mean,lgd_new_error_sd,lgd_true_mean,lgd_true_sd,lgd_basic_mean,lgd_basic_sd,lgd_lgc_mean,lgd_lgc_sd,lgd_prd_mean,lgd_prd_sd,lgd_new_mean,lgd_new_sd,n_replications
1,-0.008743690884482746,0.0021801182272897764,0.004564753085143497,0.002337964291583918,0.011166014186521338,0.0022593828133823843,7.680676670555498e-06,0.002063157097731595,0.40566713670774945,0.004001947508446391,0.4021184424547501,0.003896143735930155,0.4075169590401213,0.00393438498004226,0.4101949295009356,0.003958408578403873,0.4056685772828304,0.003919228011507903,1000
2,-0.008609473832444129,0.0022213592571408204,0.0045523115730008975,0.0024696381190376358,0.011273606567358735,0.0023765296012746313,-5.99698771437982e-05,0.002146546760822651,0.40541115500447256,0.003988654168501285,0.4019190297844084,0.003878101371627296,0.4072547359010714,0.003929902394717922,0.40997976730554186,0.00396114628380913,0.4053851841344108,0.003913706061092737,1000
3,-0.008249469191514773,0.0022991436136949313,0.004642294456820305,0.0024900271388719787,0.01152920153742114,0.0024161022029123695,4.104239224005535e-05,0.0022011590915542024,0.40525455709552216,0.004278102285362896,0.4019094507086338,0.004158052934830905,0.4071334147806831,0.004182913404376779,0.40992442143085694,0.004209975908760881,0.40526918855824895,0.004181067934593986,1000
4,-0.008160302359968568,0.0021352531068343926,0.004522738477375109,0.0023443468120241287,0.011685298634481577,0.0022785990064656198,-5.676999422410245e-05,0.0020696798778408435,0.40541042461538596,0.004215990396324269,0.4021004171570552,0.004103636039650073,0.40724175162321447,0.004124908880733354,0.4101454510876845,0.0041405735307242925,0.40538567704078005,0.004131866061855058,1000
5,-0.007948065762671323,0.002199181244905572,0.004548280345497178,0.002435692884396199,0.011920612903097448,0.002356578924132994,-2.363845138899101e-05,0.0021213517097609966,0.40519443551915235,0.004328334906842969,0.4019716848471909,0.0041754332313541555,0.4070347259709124,0.00421001836095124,0.41002231748959395,0.004268934161306225,0.4051827068727937,0.004210880117410034,1000
6,-0.007804811199338205,0.0021888651350138733,0.0044584484109199555,0.0023683221731475718,0.01204281600154113,0.002303058468608332,-0.00013777410276411873,0.0021031539441390833,0.40520837526610815,0.004103246126327582,0.40204442490412245,0.004031952182743079,0.4070133950130992,0.004077155965148379,0.4100868118897892,0.004118170950935363,0.4051512939053102,0.004067405743742398,1000
7,-0.007479637838655814,0.0022734734768320255,0.004640407095296875,0.002446717298501041,0.0123235734065475,0.002440135914140592,2.512460886868917e-05,0.0021835703233778836,0.40498178002327423,0.004057051561617159,0.40195058750566964,0.003922966971693534,0.4068587375299394,0.003962184011783744,0.4099702033753697,0.003983745486681599,0.4049900314420396,0.003959772389712313,1000
8,-0.007321937838785886,0.0022920592013589555,0.004518702445307602,0.0024750143407999024,0.012464762064148111,0.002438602512734402,-6.596792798052443e-05,0.0021883302019346153,0.4048698702513614,0.00407601739798475,0.40190326343792493,0.003934253718127586,0.4066968363170764,0.0039638274962706475,0.40991412128134425,0.0040083581824870785,0.404841068141665,0.003961749620701213,1000
9,-0.007054895011001325,0.0022018822629311296,0.004685353476045803,0.0024465935169398147,0.01282018123242176,0.002355398297923399,4.5198778342231294e-05,0.002125130703014503,0.40468365875688145,0.004070500887883592,0.40182720622112017,0.003994647758520522,0.4065780947092852,0.004044198876969351,0.4098700228884444,0.004057123984570955,0.404700663291921,0.0040325883022993315,1000
10,-0.0069337384672193015,0.0021989190655682753,0.0046056834113050345,0.002443355409231193,0.012993863373602772,0.0024276799641840146,-2.8179536817036775e-05,0.002134500914178792,0.40468252003022726,0.004018071925224094,0.4018750130880953,0.003933508002997013,0.406544324256033,0.003951851199011219,0.40993882324313574,0.0039775353659568845,0.4046695693830685,0.003954531269758819,1000
11,-0.006564286936583947,0.002250898437879506,0.004767696780991664,0.00247906754620653,0.01331505533308438,0.0024517317552523927,0.00013331534938828505,0.00217575122979266,0.4046864492744348,0.003989738557114759,0.4020286093373289,0.003929642993762624,0.40661420756240313,0.003965080821789821,0.41007316328695387,0.003990937311147894,0.4047390310849,0.003948014679010925,1000
12,-0.006491617068402805,0.0022713660150889313,0.004626063829058241,0.0025010802872790575,0.013315530018887136,0.002521107789323053,-4.375250333370717e-06,0.0022086295150984887,0.40454724021532945,0.004303357743419347,0.4019189411043604,0.004171824365940296,0.40641613851394737,0.00419806897278459,0.40993146612015957,0.004239265548983731,0.404543419948778,0.004201524501132307,1000
13,-0.006243379939175874,0.0022364438727944637,0.004663163050143494,0.002443809253417447,0.01365223236003185,0.002433982458902267,4.770357953806004e-05,0.0021740188237987135,0.4044255313896127,0.0042609586555569035,0.4018984718471944,0.004132486829028494,0.4063089515792449,0.004157283752827771,0.4099445282931126,0.004210174589679358,0.40444282463241005,0.004160845525205041,1000
14,-0.006018235214293802,0.0021916634688790826,0.004688606918317771,0.002453375240771428,0.013837697886295046,0.002432117840837915,4.121455832141929e-05,0.0021506312477856987,0.40428520691915804,0.003977243892728268,0.4018501730512582,0.003853037344756829,0.40617858066404233,0.0038979194711124166,0.40987725238360456,0.0039132837832631445,0.40430007033946,0.0038885710852578554,1000
15,-0.005944739589632563,0.0021888749842665037,0.004593965756495848,0.0024034118275784223,0.013930818195317706,0.0023983375991106382,-5.777071841019288e-05,0.002123520242935996,0.40448196621869337,0.00421490689340313,0.4020755309397502,0.0041004303909961196,0.40633807698129154,0.00414610028483984,0.41011453832268946,0.0041714843597618146,0.40445687870757624,0.004136097517882595,1000
16,-0.005597320999848326,0.002174495925436256,0.004741878658333961,0.0024268070948221653,0.014329016074795604,0.002380380734469324,6.647016651279969e-05,0.0021252889169006907,0.40418152447504435,0.00410337425666545,0.40191717343578715,0.003974902077762399,0.40609572313400394,0.0040029929744009604,0.4099705286742886,0.004022504857353959,0.40420649571404754,0.004005527611304034,1000
17,-0.005457212330267124,0.0022192573433223433,0.004666378187751841,0.002490994012567897,0.014431199651906205,0.0024926972003058343,1.546822757541111e-05,0.002193527104716016,0.40396366425740515,0.004227729776779223,0.40175666164062196,0.004060045544829145,0.40584572032686306,0.004077101469522205,0.4097904756565959,0.004129298656828399,0.40396746122627714,0.004083834280804394,1000
18,-0.005105617309431218,0.00228724772487325,0.004821597768263369,0.002480639842125979,0.014798727459491312,0.0025350652042995018,0.00014473771499615883,0.002241691433525804,0.403950786069383,0.004098211088370639,0.40188644665001944,0.0039914795771995686,0.40589630568446133,0.004024664028677916,0.4099267123462053,0.00408376021144602,0.4040074696998587,0.004022068420405711,1000
19,-0.005005043576361995,0.0022708162928440764,0.004717953879614414,0.0024980305202390246,0.014909808819547182,0.002482908850639618,4.839192275316151e-05,0.002237931586707036,0.40399764685935274,0.004123987743176924,0.4019737185865771,0.00401831389762884,0.40590149213191684,0.004049617232875323,0.4100190561965041,0.0040965358978144245,0.4040153568178746,0.004041869476793498,1000
20,-0.004843887513016631,0.0022196937594702666,0.004679982829080588,0.0024537913848525924,0.015118677126492496,0.002522277739687792,3.640465598688691e-06,0.0021811956345668152,0.40389322988679244,0.004087519992301812,0.4019347113278454,0.0039560928686992475,0.40578101594300386,0.003983629318557851,0.40999721128263844,0.004039818142834426,0.4038927817943314,0.003990944918303636,1000
